ticker,type,contractSymbol,asof_datetime,lastTradeDate_dt,expiration,expiration_dt,days_to_exp,T,S,F,r,q,strike,moneyness,bid,ask,mid,spread,rel_spread,lastPrice,impliedVolatility,volume,openInterest,inTheMoney,currency,weight,moneyness_bucket
SPY,call,SPY260102C00670000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:03:56+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,670.0,0.9904356867513276,10.29,10.55,10.42,0.2600000000000015,0.0249520153550865,10.54,0.1214687463378906,299.0,2056.0,True,USD,3.846139053311311,"(0.95, 1.0]"
SPY,call,SPY260102C00673000,2025-12-18 21:43:21.413601+00:00,2025-12-18 20:15:26+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,673.0,0.9948704734084228,8.31,8.64,8.475000000000001,0.33,0.0389380530973451,9.02,0.1200039172363281,295.0,813.0,True,USD,3.030293847594401,"(0.95, 1.0]"
SPY,call,SPY260102C00675000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:11:41+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,675.0,0.9978269978464868,7.07,7.12,7.095000000000001,0.0499999999999998,0.0070472163495419,7.16,0.1126187371826171,1587.0,2603.0,True,USD,19.99960000799991,"(0.95, 1.0]"
SPY,call,SPY260102C00677000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:10:47+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,677.0,1.0007835222845505,5.89,5.94,5.915,0.0500000000000007,0.0084530853761624,6.0,0.1096890789794921,3450.0,1185.0,False,USD,19.999600007999558,"(1.0, 1.05]"
SPY,call,SPY260102C00679000,2025-12-18 21:43:21.413601+00:00,2025-12-18 20:53:20+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,679.0,1.003740046722614,4.83,4.88,4.855,0.0499999999999998,0.0102986611740473,5.58,0.1070645935058593,690.0,1613.0,False,USD,19.99960000799991,"(1.0, 1.05]"
SPY,call,SPY260102C00680000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:10:47+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,680.0,1.0052183089416458,4.35,4.39,4.369999999999999,0.04,0.0091533180778032,4.42,0.1057218334960937,11421.0,10529.0,False,USD,24.999375015624587,"(1.0, 1.05]"
SPY,call,SPY260102C00681000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:04:57+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,681.0,1.0066965711606777,3.9,3.92,3.91,0.02,0.0051150895140665,4.0,0.1042570043945312,761.0,1373.0,False,USD,49.99750012499371,"(1.0, 1.05]"
SPY,call,SPY260102C00682000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:12:42+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,682.0,1.0081748333797096,3.44,3.48,3.46,0.04,0.0115606936416185,3.54,0.1027921752929687,1052.0,1230.0,False,USD,24.999375015624587,"(1.0, 1.05]"
SPY,call,SPY260102C00683000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:09:22+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,683.0,1.0096530955987413,3.05,3.08,3.065,0.0300000000000002,0.0097879282218597,3.14,0.1015409671020507,531.0,1263.0,False,USD,33.33222225925775,"(1.0, 1.05]"
SPY,call,SPY260102C00684000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:11:46+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,684.0,1.0111313578177732,2.7,2.74,2.72,0.04,0.0147058823529411,2.73,0.1009306216430664,622.0,1768.0,False,USD,24.999375015624587,"(1.0, 1.05]"
SPY,call,SPY260102C00685000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:11:21+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,685.0,1.0126096200368049,2.36,2.39,2.375,0.0300000000000002,0.0126315789473685,2.35,0.0995573443603515,2469.0,3208.0,False,USD,33.33222225925775,"(1.0, 1.05]"
SPY,call,SPY260102C00686000,2025-12-18 21:43:21.413601+00:00,2025-12-18 21:09:22+00:00,2026-01-02,2026-01-02 00:00:00+00:00,14.09489104628472,0.0386161398528348,676.469970703125,676.469970703125,0.0,0.0,686.0,1.0140878822558368,2.03,2.07,2.05,0.04,0.0195121951219512,2.08,0.0982145843505859,819.0,1321.0,False,USD,24.999375015624587,"(1.0, 1.05]"
